time_step,time_days,iter,pavg_psia,oil_tx_stb_p_day,cum_oil_Mstb,wat_tx_stb_p_day,cum_w_Mstb,wor_stb_stb,gas_tx_Mcf_p_day,cum_gas_Mmcf,gor_stf_stb,case
1,1.0,2,5306.5,300.0,0.3,0.0,0.0,0.0,137.0,0.14,457.0,base12
2,2.0,1,5298.5,300.0,0.6,0.0,0.0,0.0,137.0,0.27,457.0,base12
3,3.5,1,5286.7,300.0,1.0,0.0,0.0,0.0,137.0,0.48,457.0,base12
4,5.8,1,5269.1,300.0,1.7,0.0,0.0,0.0,137.0,0.79,457.0,base12
5,9.1,1,5242.6,300.0,2.7,0.0,0.0,0.0,137.0,1.25,457.0,base12
6,14.2,1,5202.9,300.0,4.3,0.0,0.0,0.0,137.0,1.95,457.0,base12
7,21.8,1,5143.2,300.0,6.5,0.0,0.0,0.0,137.0,2.99,457.0,base12
8,33.2,1,5053.5,300.0,10.0,0.0,0.0,0.0,137.0,4.55,457.0,base12
9,34.2,2,4820.1,300.0,10.3,0.0,0.0,0.0,137.0,4.68,457.0,base12
10,35.2,1,4812.6,300.0,10.6,0.0,0.0,0.0,137.0,4.82,457.0,base12
11,36.7,1,4800.7,300.0,11.0,0.0,0.0,0.0,137.0,5.03,457.0,base12
12,38.9,1,4783.0,300.0,11.7,0.0,0.0,0.0,137.0,5.34,457.0,base12
13,42.3,1,4756.4,300.0,12.7,0.1,0.0,0.0,137.0,5.8,457.0,base12
14,47.4,1,4716.4,300.0,14.2,0.1,0.0,0.0,137.0,6.49,457.0,base12
15,55.0,1,4656.4,300.0,16.5,0.1,0.0,0.0,137.0,7.53,457.0,base12
16,66.3,1,4566.3,300.0,19.9,0.1,0.0,0.0,137.0,9.1,457.0,base12
17,67.3,2,4336.7,300.0,20.2,0.1,0.0,0.0,137.0,9.23,457.0,base12
18,68.3,1,4328.0,300.0,20.5,0.1,0.0,0.0,137.0,9.37,457.0,base12
19,69.8,1,4316.0,300.0,21.0,0.1,0.0,0.0,137.0,9.58,457.0,base12
20,72.1,1,4298.1,300.0,21.6,0.1,0.0,0.0,137.0,9.88,457.0,base12
21,75.5,1,4271.1,300.0,22.6,0.1,0.0,0.0,137.0,10.35,457.0,base12
22,80.5,1,4230.5,300.0,24.2,0.1,0.0,0.0,137.0,11.04,457.0,base12
23,88.1,1,4169.7,300.0,26.4,0.1,0.0,0.0,137.0,12.08,457.0,base12
24,99.5,1,4078.2,300.0,29.9,0.1,0.0,0.0,137.0,13.64,457.0,base12
25,100.5,2,3841.1,300.0,30.2,0.1,0.0,0.0,137.0,13.78,457.0,base12
26,101.5,1,3833.2,300.0,30.5,0.1,0.0,0.0,137.0,13.92,457.0,base12
27,103.0,1,3821.1,300.0,30.9,0.1,0.0,0.0,137.0,14.12,457.0,base12
28,105.3,1,3803.0,300.0,31.6,0.1,0.0,0.0,137.0,14.43,457.0,base12
29,108.6,1,3775.9,300.0,32.6,0.1,0.0,0.0,137.0,14.89,457.0,base12
30,113.7,1,3735.2,300.0,34.1,0.1,0.0,0.0,137.0,15.59,457.0,base12
31,121.3,1,3674.0,300.0,36.4,0.1,0.0,0.0,137.0,16.63,457.0,base12
32,132.7,1,3582.0,300.0,39.8,0.1,0.0,0.0,137.0,18.19,457.0,base12
33,133.7,2,3347.8,300.0,40.1,0.1,0.0,0.0,137.0,18.33,457.0,base12
34,134.7,1,3339.0,300.0,40.4,0.1,0.0,0.0,137.0,18.47,457.0,base12
35,136.2,1,3326.8,300.0,40.9,0.1,0.0,0.0,137.0,18.67,457.0,base12
36,138.4,1,3308.5,300.0,41.5,0.1,0.0,0.0,137.0,18.98,457.0,base12
37,141.8,1,3280.9,300.0,42.5,0.1,0.0,0.0,137.0,19.44,457.0,base12
38,146.9,1,3239.6,300.0,44.1,0.1,0.0,0.0,137.0,20.14,457.0,base12
39,154.5,1,3177.5,300.0,46.3,0.1,0.0,0.0,137.0,21.18,457.0,base12
40,165.9,1,3084.2,300.0,49.8,0.1,0.0,0.0,137.0,22.74,457.0,base12
41,166.9,2,2844.1,300.0,50.1,0.2,0.0,0.0,137.0,22.88,457.0,base12
42,167.9,1,2835.3,300.0,50.4,0.2,0.0,0.0,137.0,23.01,457.0,base12
43,169.4,1,2823.0,300.0,50.8,0.2,0.0,0.0,137.0,23.22,457.0,base12
44,171.6,1,2804.5,300.0,51.5,0.2,0.0,0.0,137.0,23.53,457.0,base12
45,175.0,1,2776.8,300.0,52.5,0.2,0.0,0.0,137.0,23.99,457.0,base12
46,180.0,1,2735.1,300.0,54.0,0.2,0.0,0.0,137.0,24.68,457.0,base12
47,187.6,1,2672.5,300.0,56.3,0.2,0.0,0.0,137.0,25.72,457.0,base12
48,199.0,2,2579.7,300.0,59.7,0.2,0.0,0.0,137.0,27.29,457.0,base12
49,214.0,2,2493.2,300.0,64.2,0.2,0.0,0.0,135.0,29.31,450.0,base12
50,229.0,1,2444.4,300.0,68.7,0.2,0.0,0.0,132.0,31.28,439.0,base12
51,244.0,1,2386.4,300.0,73.2,0.2,0.0,0.0,146.0,33.48,487.0,base12
52,259.0,1,2342.5,300.0,77.7,0.2,0.0,0.0,147.0,35.69,491.0,base12
53,274.0,1,2298.7,300.0,82.2,0.2,0.0,0.0,161.0,38.1,537.0,base12
54,289.0,1,2256.8,300.0,86.7,0.3,0.0,0.0,168.0,40.63,561.0,base12
55,304.0,1,2215.4,300.0,91.2,0.3,0.0,0.0,184.0,43.39,614.0,base12
56,319.0,1,2174.6,300.0,95.7,0.3,0.0,0.0,196.0,46.33,654.0,base12
57,334.0,1,2134.5,300.0,100.2,0.3,0.1,0.0,210.0,49.48,700.0,base12
58,349.0,2,2095.2,300.0,104.7,0.3,0.1,0.0,230.0,52.93,766.0,base12
59,364.0,2,2056.8,300.0,109.2,0.3,0.1,0.0,240.0,56.52,799.0,base12
60,365.0,1,2054.3,300.0,109.5,0.3,0.1,0.0,259.0,56.77,865.0,base12
61,370.0,2,2057.3,45.8,109.7,0.0,0.1,0.0,40.0,56.97,871.0,base12
62,371.0,3,2069.9,53.3,109.8,0.1,0.1,0.0,39.0,57.01,736.0,base12
63,372.0,1,2071.0,57.3,109.8,0.1,0.1,0.0,37.0,57.05,654.0,base12
64,373.5,1,2072.4,57.3,109.9,0.1,0.1,0.0,37.0,57.11,654.0,base12
65,375.7,1,2074.6,57.4,110.1,0.1,0.1,0.0,37.0,57.19,653.0,base12
66,379.1,1,2077.8,57.4,110.2,0.1,0.1,0.0,37.0,57.32,653.0,base12
67,384.2,1,2082.7,57.5,110.5,0.1,0.1,0.0,38.0,57.51,653.0,base12
68,391.8,1,2090.1,57.5,111.0,0.1,0.1,0.0,38.0,57.79,652.0,base12
69,392.8,3,2112.0,57.6,111.0,0.1,0.1,0.0,38.0,57.83,655.0,base12
70,393.8,1,2113.1,58.1,111.1,0.1,0.1,0.0,38.0,57.87,647.0,base12
71,395.3,1,2114.6,58.1,111.2,0.1,0.1,0.0,38.0,57.92,646.0,base12
72,397.5,1,2116.9,58.1,111.3,0.1,0.1,0.0,38.0,58.01,646.0,base12
73,400.9,1,2120.4,58.2,111.5,0.1,0.1,0.0,38.0,58.13,644.0,base12
74,406.0,1,2125.6,58.3,111.8,0.1,0.1,0.0,37.0,58.32,643.0,base12
75,413.6,1,2133.6,58.6,112.2,0.1,0.1,0.0,37.0,58.61,639.0,base12
76,425.0,1,2145.6,58.9,112.9,0.1,0.1,0.0,37.0,59.03,634.0,base12
77,440.0,1,2161.8,59.5,113.8,0.1,0.1,0.0,37.0,59.59,626.0,base12
78,455.0,1,2178.5,60.3,114.7,0.1,0.1,0.0,37.0,60.15,613.0,base12
79,470.0,1,2195.6,61.3,115.6,0.1,0.1,0.0,37.0,60.7,598.0,base12
80,485.0,1,2213.2,62.3,116.6,0.1,0.1,0.0,36.0,61.24,583.0,base12
81,500.0,1,2231.1,63.4,117.5,0.1,0.1,0.0,36.0,61.78,566.0,base12
82,515.0,1,2249.6,64.6,118.5,0.1,0.1,0.0,35.0,62.31,549.0,base12
83,530.0,1,2268.7,66.0,119.5,0.1,0.1,0.0,35.0,62.84,530.0,base12
84,545.0,1,2288.5,67.4,120.5,0.1,0.1,0.0,34.0,63.35,511.0,base12
85,560.0,1,2308.9,68.9,121.5,0.1,0.1,0.0,34.0,63.86,491.0,base12
86,575.0,2,2330.7,70.5,122.6,0.1,0.1,0.0,33.0,64.36,470.0,base12
87,590.0,2,2353.3,72.3,123.7,0.1,0.1,0.0,32.0,64.84,447.0,base12
88,605.0,1,2376.7,73.8,124.8,0.1,0.1,0.0,32.0,65.31,428.0,base12
89,620.0,2,2402.9,73.7,125.9,0.1,0.1,0.0,32.0,65.79,431.0,base12
90,635.0,2,2430.6,73.5,127.0,0.1,0.1,0.0,32.0,66.27,435.0,base12
91,650.0,2,2460.6,73.3,128.1,0.0,0.1,0.0,32.0,66.75,438.0,base12
92,665.0,2,2494.2,73.1,129.2,0.0,0.1,0.0,32.0,67.24,442.0,base12
93,680.0,2,2536.7,72.9,130.3,0.0,0.1,0.0,33.0,67.73,447.0,base12
94,695.0,1,2600.3,72.8,131.4,0.0,0.1,0.0,33.0,68.22,450.0,base12
